ID,post_title,post_name,post_date,post_parent
16340,"Portable Rollforming Profit Calculator",portable-rollforming-profit-calculator,"2025-06-17 11:16:34",0
2054,"The 2025 Guide to Buying &amp; Owning Your First Portable Gutter Machine",a-guide-to-buying-owning-your-first-portable-gutter-machine,"2025-03-06 14:00:00",0
13333,"Portable Gutter Machine Selection Guide: Mach II 5"", 6"", and 5""/6"" Combo",gutter-machine-selection-guide,"2024-07-01 10:00:00",0
11089,"Things You Should Know Before You Request a Quote for an NTM Portable Rollformer",ntm-machine-quote-checklist,"2024-03-27 13:11:21",0
9635,"Designing with Board & Batten Guide",designing-with-board-and-batten-guide,"2023-12-19 15:16:59",0
6868,"Download the NTM Product Catalog Featuring All of Our Machines, Profiles, and Accessories",ntm-product-catalog,"2023-06-20 15:01:21",0
6140,"Material Usage Guide for New Tech Machinery Roof Panel Profiles",material-usage-guide-roof-panel-profiles,"2023-03-29 14:40:15",0
5427,"The Complete Roof Panel and Gutter Machine Maintenance Schedule",roof-panel-gutter-machine-maintenance-schedule,"2022-09-30 13:37:09",0
5045,"Brand Name Comparison of Metal Roofing Profiles Guide",brand-name-comparison-of-metal-roofing-profiles-guide,"2022-06-22 09:58:33",0
4466,"Portable Roof Panel Machine Comparison Guide",portable-roof-panel-machine-comparison-guide,"2022-03-24 15:57:21",0
2061,"A Guide to Buying & Owning Your First Portable Roof or Wall Panel Machine",a-guide-to-buying-owning-your-first-portable-roof-or-wall-panel-machine,"2020-05-17 14:00:25",0
2060,"Download the Portable Rollforming vs. Factory Panel Suppliers: A Roofing Contractor's Guide",portable-rollforming-vs-factory-panel-suppliers-a-roofing-contractors-guide,"2020-05-17 14:00:25",0
2059,"Download the Metal Roofing & Rollforming Glossary",metal-roofing-rollforming-glossary,"2020-05-17 14:00:25",0
2058,"Drive Roller Cleaning Instructions",drive-roller-cleaning-instructions,"2020-05-17 14:00:25",0
2057,"Download the Simple Steps to Safe Machine Operation Infographic",simple-steps-safe-machine-operation-infographic,"2020-05-17 14:00:25",0
